"","intentie","opl.niveau","attitudes","pcg","psn","leeftijd","geslacht"
"221",1,3,7,6.75,5.33333333333333,32,1
"222",0,3,6.33333333333333,5.25,3.33333333333333,28,1
"223",0,3,6,6,4.66666666666667,32,1
"224",1,3,6.5,5.75,6,25,1
"225",1,3,6.83333333333333,6.75,5.66666666666667,27,1
"226",1,3,6.66666666666667,5.75,6,25,1
"227",1,3,6.16666666666667,5.75,NA,26,1
"228",1,3,6.5,5.75,4.66666666666667,27,1
"229",0,2,4.83333333333333,5.5,4,54,1
"230",1,3,6,6.25,6.33333333333333,26,1
"231",1,3,5.83333333333333,6.75,4,27,0
"232",0,3,5.16666666666667,6.5,2.33333333333333,43,0
"233",1,3,5.33333333333333,7,4.33333333333333,31,1
"234",0,1,6,6.25,3.66666666666667,32,0
"235",1,3,7,6.75,7,50,1
"236",1,3,6.33333333333333,7,3.66666666666667,50,1
"237",0,2,4.16666666666667,4.75,1,27,0
"238",0,2,4,2.5,1,50,0
"239",1,3,6.5,6.5,6,62,0
"240",1,3,5.66666666666667,5.25,4.66666666666667,57,0
"241",1,3,6.66666666666667,5,2.66666666666667,52,1
"242",1,3,6.83333333333333,6.75,2,57,1
"243",0,3,7,6.75,5,28,1
"244",1,3,6.16666666666667,4.75,6.33333333333333,35,1
"245",0,3,6.5,6.75,6,30,1
"246",0,2,6.16666666666667,5.5,3.66666666666667,56,1
"247",1,1,7,7,5,26,0
"248",0,3,7,5.75,3.66666666666667,25,1
"249",1,3,6,6.5,4.33333333333333,29,1
"250",0,3,6.66666666666667,6.25,4,42,1
"251",1,3,7,5.25,5.33333333333333,33,1
"252",1,1,7,4.75,6.66666666666667,46,1
"253",1,3,6.66666666666667,5.25,4.33333333333333,37,NA
"254",0,1,6.16666666666667,5.25,4.66666666666667,26,0
"255",0,2,4.83333333333333,4.25,1,46,1
"256",1,1,4.83333333333333,5,5.33333333333333,25,0
"257",0,3,5.66666666666667,6.75,4,25,0
"258",0,1,1.83333333333333,2.25,5,63,0
"259",1,3,6.66666666666667,7,6,56,1
"260",1,2,5,3,4,50,1
"261",0,2,5.16666666666667,5.5,2.33333333333333,58,1
"262",1,3,7,5.25,5,39,1
"263",1,3,6.66666666666667,5.5,4.33333333333333,25,1
"264",1,2,6,5,5,56,1
"265",0,1,5,4.75,2.33333333333333,32,1
"266",1,3,5.33333333333333,6,4.66666666666667,26,0
"267",1,1,3.66666666666667,5.5,5.5,54,0
"268",0,2,4.83333333333333,4.75,3,29,0
"269",0,2,4,4,3,56,1
"270",0,1,5,5.5,1.33333333333333,57,0
"271",1,3,6.33333333333333,6.75,7,34,0
"272",1,1,7,7,7,26,1
"273",0,1,3.5,4,3,54,1
"274",1,3,6.33333333333333,5,5.66666666666667,58,0
"275",0,2,6.66666666666667,4,NA,27,1
"276",1,3,6,6.75,6,56,1
"277",0,1,6,4.75,2.66666666666667,33,0
"278",0,1,3.33333333333333,4.75,1.66666666666667,40,1
"279",0,1,4.66666666666667,5.75,2.33333333333333,60,1
"280",1,3,7,6.75,4,40,1
"281",1,3,6,6,3.33333333333333,25,0
"282",1,3,6.16666666666667,5.75,4.5,44,0
"283",0,1,5.66666666666667,5.25,1,44,1
"284",0,2,5.33333333333333,6.25,1,41,0
"285",0,1,4,4,NA,55,0
"286",0,1,4,1.25,1,42,0
"287",0,3,5,6.25,3.66666666666667,26,1
"288",0,3,5.5,6.5,3,50,0
"289",0,1,7,6,1,43,0
"290",1,3,6.5,6.25,7,30,1
