"","date","age","gender","comorbidity","comorbidity.N_Y","edu.cat","edu","vaccination_intention","vaccin_campaign","vaccin_encouragement","risk_probability_self","risk_consequence_self","risk_self","risk_probability_other","risk_consequence_other","risk_other","worries_relatives","worries_health","motv_vaccin_ident_2","motv_vaccin_ident_3","motv_vaccin_ident_4","motv_vaccin_exter_1","motv_vaccin_exter_2","motv_vaccin_exter_3","motv_vaccin_distrust_1","motv_vaccin_distrust_4","motv_vaccin_distrust_5","motv_vaccin_effort_1","motv_vaccin_effort_2","motv_vaccin_effort_3","gender.M_F"
"8433","2020-12-10",52,"Female","No",0,"Master",7,5,5,5,3,3,2.33333333333333,4,4,3.5,4,2,5,4,5,2,2,4,2,1,2,5,1,5,1
"8434","2020-12-11",51,"Female","No",0,"Master",7,5,5,5,1,3,1.33333333333333,5,3,3.33333333333333,2,1,5,5,5,5,5,5,3,2,2,1,1,1,1
"8435","2020-12-11",42,"Female","No",0,"Master",7,4,4,4,2,4,2.16666666666667,3,4,2.83333333333333,2,1,3,4,4,2,4,1,4,2,1,1,1,1,1
"8436","2020-12-10",36,"Female","No",0,"Bachelor technical",5,2,3,3,4,2,2.16666666666667,2,4,2.16666666666667,4,3,2,2,2,4,3,2,5,4,5,1,4,3,1
"8437","2020-12-10",41,"Female","No",0,"Master",7,1,1,1,2,1,1.16666666666667,4,3,2.83333333333333,3,1,1,1,1,4,3,4,5,4,5,5,5,5,1
"8438","2020-12-10",26,"Male","No",0,"Master",7,2,2,2,2,2,1.5,2,2,1.5,2,1,3,3,2,3,2,2,3,3,3,2,2,3,0
"8439","2020-12-10",31,"Male","No",0,"Master",7,1,1,1,1,1,1,1,1,1,3,1,2,1,5,5,1,5,5,4,4,1,1,3,0
"8440","2020-12-10",37,"Female","No",0,"Master",7,4,4,4,2,3,1.83333333333333,5,5,5,4,4,4,4,5,2,4,4,4,2,2,1,2,1,1
"8441","2020-12-11",47,"Female","No",0,"Master",7,4,5,5,2,2,1.5,3,3,2.33333333333333,4,1,5,5,5,1,1,1,2,1,2,1,1,1,1
"8442","2020-12-11",32,"Male","No",0,"Bachelor technical",5,2,1,1,2,3,1.83333333333333,4,4,3.5,5,4,2,2,3,3,3,3,5,5,5,3,3,3,0
"8443","2020-12-11",74,"Male","No",0,"Bachelor university",6,4,2,4,3,3,2.33333333333333,3,4,2.83333333333333,4,2,5,5,5,3,1,2,4,2,2,2,2,2,0
"8444","2020-12-10",55,"Male","No",0,"Master",7,5,1,1,2,2,1.5,3,4,2.83333333333333,4,1,5,5,5,1,1,1,2,1,1,1,1,1,0
"8445","2020-12-10",35,"Female","No",0,"Master",7,4,3,3,3,3,2.33333333333333,4,3,2.83333333333333,4,2,5,5,5,1,1,1,4,3,4,1,1,1,1
"8446","2020-12-11",38,"Male","No",0,"Master",7,4,3,3,3,2,1.83333333333333,4,3,2.83333333333333,3,2,4,4,4,2,2,2,3,2,3,1,2,1,0
"8447","2020-12-10",67,"Female","No",0,"Master",7,2,1,2,3,3,2.33333333333333,3,3,2.33333333333333,4,2,1,3,2,4,3,4,4,4,4,2,1,1,1
"8448","2020-12-10",46,"Male","No",0,"Secundary superior",4,2,3,4,3,3,2.33333333333333,3,4,2.83333333333333,4,4,3,3,3,4,5,4,5,3,4,2,2,2,0
"8449","2020-12-10",34,"Female","No",0,"Master",7,3,3,3,3,4,2.83333333333333,4,4,3.5,5,4,4,4,4,3,4,3,3,4,2,3,3,3,1
"8450","2020-12-11",43,"Male","Yes",1,"Master",7,4,4,4,3,3,2.33333333333333,4,3,2.83333333333333,3,3,4,4,5,1,2,2,2,3,4,1,1,1,0
"8451","2020-12-10",43,"Male","No",0,"Bachelor technical",5,2,2,2,3,4,2.83333333333333,4,4,3.5,4,5,5,5,5,2,4,2,5,4,4,2,3,3,0
"8452","2020-12-11",35,"Female","No",0,"Bachelor technical",5,1,1,3,3,2,1.83333333333333,4,3,2.83333333333333,3,4,1,2,1,4,2,3,5,4,3,3,2,2,1
"8453","2020-12-10",64,"Male","No",0,"Master",7,4,4,4,1,3,1.33333333333333,4,4,3.5,4,4,5,5,5,1,1,1,3,2,2,3,2,2,0
"8454","2020-12-10",39,"Female","No",0,"Secundary superior",4,3,2,3,2,2,1.5,3,4,2.83333333333333,5,3,2,3,3,4,4,2,4,4,4,2,3,3,1
"8455","2020-12-10",20,"Male","No",0,"Secundary superior",4,4,5,5,3,2,1.83333333333333,3,4,2.83333333333333,2,1,5,5,5,2,1,1,1,1,2,1,1,1,0
"8456","2020-12-10",30,"Male","No",0,"Master",7,4,4,4,1,2,1.16666666666667,4,5,4.16666666666667,4,1,4,5,5,3,5,4,5,4,2,2,3,1,0
