"School","Klas","Conditie","BL_pretest","BL_posttest","Niveau","Dyslexie","NiveauNietZwak"
1,4,"0",-0.937253851,-1.425899691,"1",0,1
1,4,"0",-0.022581116,-0.71105708,"2",0,1
1,4,"0",0.52286886,2.897626695,"1",0,1
1,4,"0",1.159101139,2.36429908,"2",0,1
1,4,"0",-0.134077153,0.607186418,"1",0,1
1,4,"0",-1.647136066,-1.692610348,"1",0,1
1,4,"0",0.21438864,2.25604615,"1",0,1
1,4,"0",0.899667768,NA,"1",0,1
1,4,"0",-0.428110242,1.340916209,"1",0,1
1,4,"0",2.100778424,-0.190761822,"2",0,1
1,4,"0",NA,-0.793453801,"1",0,1
1,4,"0",0.581669327,-0.505222524,"2",0,1
1,4,"0",-0.895923784,0.70031333,"1",0,1
2,5,"0",-0.647799515,-1.227168766,"2",0,1
2,5,"0",-2.339334767,-0.830093155,"2",0,1
2,5,"0",0.158985299,-1.024049379,"2",0,1
2,5,"0",-1.734024468,-1.200016381,"2",0,1
2,5,"0",-0.258964786,0.946944688,"1",0,1
2,5,"0",-0.341411358,-1.344786482,"1",0,1
2,5,"0",-0.452672961,-0.830308961,"2",0,1
2,5,"0",1.391180599,1.881215605,"2",0,1
2,5,"0",-0.786603391,-0.746706806,"2",0,1
2,5,"0",-0.638822339,-2.240947052,"2",0,1
2,6,"0",NA,2.145167943,"1",0,1
2,6,"0",-0.796118254,0.422275014,"2",0,1
2,6,"0",0.684907075,2.079894508,"1",0,1
2,6,"0",1.54081983,2.826103227,"1",0,1
2,6,"0",1.133705863,2.01403337,"1",0,1
2,6,"0",-1.219508127,-0.137513715,"3",1,0
2,6,"0",1.566963764,1.837095601,"1",0,1
2,6,"0",2.048248381,-0.481047361,"1",0,1
2,6,"0",-0.304364047,1.529963978,"1",0,1
2,6,"0",0.832893984,-0.591831405,"1",0,1
2,6,"0",2.047607771,1.224082083,"1",0,1
2,6,"0",-0.726777838,-0.896979351,"2",0,1
2,6,"0",-1.192975641,NA,"3",0,0
2,6,"0",-2.058501824,-0.973002718,"2",0,1
2,6,"0",1.623809507,1.090859467,"1",0,1
2,6,"0",-0.184343879,-1.354541612,"1",0,1
2,6,"0",0.990386356,-0.440594987,"1",0,1
2,6,"0",0.513693445,1.413932402,"1",0,1
3,7,"0",0.974842195,0.646189253,"1",0,1
3,7,"0",-0.252380739,-0.690716623,"1",0,1
3,7,"0",-0.211730673,-0.004013655,"2",1,1
3,7,"0",-1.033999036,2.293485345,"2",0,1
3,7,"0",0.942447035,0.823635547,"1",0,1
3,7,"0",2.789547616,0.559684559,"1",0,1
3,7,"0",NA,0.291529901,"2",0,1
3,7,"0",1.22374765,1.660199088,"1",0,1
3,7,"0",-1.222375742,-1.277218048,"2",0,1
3,7,"0",0.546542926,-1.237885624,"2",0,1
3,7,"0",0.33882728,NA,"1",0,1
3,7,"0",-1.231728039,NA,"3",0,0
3,7,"0",-1.152960815,-0.907213323,"1",0,1
3,8,"0",-1.634474354,-1.868284892,"3",0,0
3,8,"0",-1.713031747,-1.466429866,"2",0,1
3,8,"0",2.380749253,0.08307484,"1",0,1
3,8,"0",-0.972246695,-0.031635988,"1",0,1
3,8,"0",-0.563202993,-1.428762793,"1",0,1
3,8,"0",-0.224059537,-0.394733418,"2",0,1
3,8,"0",0.542424407,1.498130097,"1",0,1
3,8,"0",-0.691608465,-0.499366141,"1",0,1
3,8,"0",-2.246622519,-0.110706316,"1",0,1
3,8,"0",1.040976455,-0.3809379,"1",0,1
3,8,"0",-0.296847854,-0.708786882,"1",0,1
3,8,"0",-0.266096705,2.378082142,"1",0,1
3,8,"0",0.43104542,2.112669886,"1",0,1
3,8,"0",1.047633756,1.153341932,"1",0,1
3,8,"0",-0.800232362,0.176980894,"2",0,1
3,8,"0",-0.536755232,-0.871632079,"1",0,1
3,8,"0",-1.782998486,-1.007560109,"2",0,1
3,8,"0",-0.038233855,0.189750897,"1",0,1
3,9,"0",-1.86388981,-0.597995692,"3",0,0
3,9,"0",-1.451311169,-0.529645148,"2",1,1
3,9,"0",-0.879595278,-0.07398571,"1",0,1
3,9,"0",1.266138533,0.037695302,"2",1,1
3,9,"0",4.627370061,1.988514699,"1",0,1
3,9,"0",-0.290135888,3.583511562,"1",0,1
3,9,"0",2.491107741,1.752158773,"1",0,1
3,9,"0",NA,-0.096238072,"3",0,0
3,9,"0",3.615534721,1.067097153,"1",0,1
3,9,"0",1.680124912,1.880286763,"1",0,1
3,9,"0",3.718791681,-0.770083789,"2",0,1
3,9,"0",-0.830411119,0.283118757,"2",0,1
3,9,"0",4.627370061,3.434620555,"1",0,1
3,9,"0",-1.496505022,-0.551508967,"3",NA,0
3,9,"0",-0.880177434,0.248962995,"1",0,1
3,9,"0",-0.179464275,0.406625206,"1",0,1
3,9,"0",1.257158467,0.106964481,"1",0,1
3,9,"0",3.262457512,0.83272358,"1",0,1
3,9,"0",2.369895838,0.83272358,"2",1,1
4,10,"0",-0.508312759,-1.902937652,"2",0,1
4,10,"0",-1.829438666,-1.240770338,"3",0,0
4,10,"0",-0.603305772,0.10077622,"3",0,0
4,10,"0",0.03504312,-0.029252853,"2",NA,1
4,10,"0",-1.546524754,-0.973499328,"3",NA,0
4,10,"0",-1.774213753,NA,"1",0,1
4,10,"0",-1.380226645,-1.353066306,"3",0,0
